organization_code,deployment_code,project_code,site_code,deployment_device_codes,deployment_platform_type_code,deployment_water_depth_m,deployment_datetime,deployment_latitude,deployment_longitude,deployment_vessel,deployment_cruise,deployment_alias,deployment_json,deployment_comments,recovery_datetime,recovery_latitude,recovery_longitude,recovery_vessel,recovery_cruise,recovery_surface_datetime,recovery_burn_datetime,recovery_json,recovery_comments,parent_deployment_code
SWFSC,SWFSC_NEPac_20241028_CalCurCEAS_023,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7518,HTI_856156,HTI_856167,satellite-tracker_SO-777,depth-sensor_16536",drifting_buoy,NA,2024-10-28T00:00:00Z,34.611478,-122.446243,R/V Bold Horizon,CalCurCEAS_2024,NA,NA,NA,2024-11-11T06:24:00Z,33.563667,-121.388667,R/V Bold Horizon,CalCurCEAS_2024,NA,NA,NA,NA,NA
SWFSC,SWFSC_NEPac_20241111_CalCurCEAS_024,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_8595,HTI_856141,HTI_856144,satellite-tracker_SO-588,depth-sensor_16636",drifting_buoy,NA,2024-11-11T01:55:00Z,34.2805,-121.302167,R/V Bold Horizon,CalCurCEAS_2024,NA,NA,NA,2024-11-24T15:19:00Z,33.678,-121.5377,R/V Bold Horizon,CalCurCEAS_2024,NA,NA,NA,NA,NA
SWFSC,SWFSC_NEPac_20241120_CalCurCEAS_025,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7517,HTI_856163,HTI_856171,satellite-tracker_SO-602,depth-sensor_16597",drifting_buoy,NA,2024-11-20T16:41:00Z,32.6905,-120.4281,R/V Bold Horizon,CalCurCEAS_2024,NA,NA,NA,2024-12-03T17:17:00Z,32.774,-120.122,R/V Bold Horizon,CalCurCEAS_2024,NA,NA,NA,NA,NA
SWFSC,SWFSC_NEPac_20241122_CalCurCEAS_026,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7939,HTI_856138,HTI_856151,satellite-tracker_SO-692,depth-sensor_16431",drifting_buoy,NA,2024-11-22T14:34:00Z,32.9462,-121.5761,R/V Bold Horizon,CalCurCEAS_2024,NA,NA,NA,2024-12-02T23:09:00Z,33.605,-122.811,R/V Bold Horizon,CalCurCEAS_2024,NA,NA,NA,NA,NA
SWFSC,SWFSC_NEPac_20241123_CalCurCEAS_027,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7950,HTI_856139,HTI_856148,satellite-tracker_SO-359,depth-sensor_16396",drifting_buoy,NA,2024-11-23T15:59:00Z,33.2813,-121.6528,R/V Bold Horizon,CalCurCEAS_2024,NA,NA,NA,2024-12-03T06:25:00Z,32.848,-122.123,R/V Bold Horizon,CalCurCEAS_2024,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20180725_CCES_004,SWFSC_CCES_2018,HUM,"SoundTrap_SM3M_3,HTI_856073,HTI_856040,satellite-tracker_E,satellite-tracker_K,depth-sensor_OT-6",drifting_buoy,NA,2018-07-25T03:30:00Z,45.0834,-128.2082,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-10-13T00:36:00Z,41.7569,-127.1545,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20180805_CCES_007,SWFSC_CCES_2018,HUM,"SoundTrap_1208791071,HTI_856049,HTI_856068,satellite-tracker_R,satellite-tracker_S,depth-sensor_LAT-5",drifting_buoy,NA,2018-08-05T14:48:00Z,41.2604,-125.0157,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-10-22T09:00:00Z,42.04,-124.485,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20180816_CCES_008,SWFSC_CCES_2018,HUM,"SoundTrap_1678016538,HTI_856095,HTI_856041,satellite-tracker_T,satellite-tracker_U,depth-sensor_LAT-6",drifting_buoy,NA,2018-08-16T02:34:00Z,38.9485,-126.6449,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-10-10T16:53:00Z,34.3774,-128.3174,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_PTA_20180822_CCES_010,SWFSC_CCES_2018,PTA,"SoundTrap_1208786975,HTI_856096,HTI_856044,satellite-tracker_Z,satellite-tracker_AA,depth-sensor_LAT-8",drifting_buoy,NA,2018-08-22T02:11:00Z,36.7607,-125.0584,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-10-22T00:20:59Z,35.9671,-122.9397,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_MOB_20180830_CCES_012,SWFSC_CCES_2018,MOB,"SoundTrap_1544081436,HTI_856097,HTI_856017,satellite-tracker_C,satellite-tracker_D,depth-sensor_LAT-10",drifting_buoy,NA,2018-08-30T02:34:00Z,34.8303,-123.8146,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-10-06T17:08:00Z,34.0316,-124.3911,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_CHI_20180911_CCES_013,SWFSC_CCES_2018,CHI,"SoundTrap_1677738025,HTI_856051,HTI_856067,satellite-tracker_X,satellite-tracker_Y,depth-sensor_LAT-11",drifting_buoy,NA,2018-09-11T20:35:00Z,33.898,-120.9078,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-10-23T14:34:00Z,31.4444,-119.7754,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_BCN_20181005_CCES_014,SWFSC_CCES_2018,BCN,"SoundTrap_1208791071,HTI_856048,HTI_856059,satellite-tracker_A,satellite-tracker_B,depth-sensor_LAT-5",drifting_buoy,NA,2018-10-05T05:46:00Z,32.2688,-118.2563,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-11-01T16:55:00Z,31.9507,-119.2481,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_BCN_20181030_CCES_016,SWFSC_CCES_2018,BCN,"SoundTrap_1543770129,HTI_856049,HTI_856068,satellite-tracker_R,satellite-tracker_S,depth-sensor_NA",drifting_buoy,NA,2018-10-30T14:32:59Z,31.3534,-117.4199,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-11-21T04:18:00Z,32.1253,-118.0337,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_BCN_20181031_CCES_017,SWFSC_CCES_2018,BCN,"SoundTrap_SM3M_3,HTI_856073,HTI_856040,satellite-tracker_E,satellite-tracker_K,depth-sensor_OT-6",drifting_buoy,NA,2018-10-31T00:02:00Z,30.725,-118.6933,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-11-24T04:31:00Z,28.2857,-118.4385,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_BCN_20181031_CCES_018,SWFSC_CCES_2018,BCN,"SoundTrap_1208786975,HTI_856096,HTI_856044,satellite-tracker_Z,satellite-tracker_AA,depth-sensor_NA",drifting_buoy,NA,2018-10-31T09:58:00Z,30.0108,-120.1815,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-11-23T18:41:00Z,29.5059,-118.8216,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_BCN_20181101_CCES_019,SWFSC_CCES_2018,BCN,"SoundTrap_1678016538,HTI_856095,HTI_856041,satellite-tracker_T,satellite-tracker_U,depth-sensor_NA",drifting_buoy,NA,2018-11-01T02:11:00Z,30.0477,-117.4605,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-11-27T14:19:59Z,28.4041,-115.5497,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_BCN_20181105_CCES_020,SWFSC_CCES_2018,BCN,"SoundTrap_1677738025,HTI_856097,HTI_856017,satellite-tracker_X,satellite-tracker_Y,depth-sensor_LAT-11",drifting_buoy,NA,2018-11-05T14:03:59Z,29.459,-118.393,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-11-22T19:21:00Z,29.392,-116.3355,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_BCN_20181106_CCES_021,SWFSC_CCES_2018,BCN,"SoundTrap_1208791071,HTI_856048,HTI_856059,satellite-tracker_A,satellite-tracker_B,depth-sensor_NA",drifting_buoy,NA,2018-11-06T03:43:00Z,29.4677,-116.012,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-11-11T09:29:00Z,29.8233,-116.0796,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_BCN_20181107_CCES_022,SWFSC_CCES_2018,BCN,"SoundTrap_1544081436,HTI_856051,HTI_856067,satellite-tracker_C,satellite-tracker_D,depth-sensor_NA",drifting_buoy,NA,2018-11-07T14:03:59Z,28.7247,-116.4778,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-11-27T04:55:00Z,28.2846,-116.6829,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_BCN_20181122_CCES_023,SWFSC_CCES_2018,BCN,"SoundTrap_1208791071,HTI_856048,HTI_856059,satellite-tracker_A,satellite-tracker_B,depth-sensor_LAT-5",drifting_buoy,NA,2018-11-22T08:10:00Z,30.9285,-117.3812,R/V Ruben Lasker,CCES2018,NA,NA,NA,2018-12-03T00:25:00Z,31.0542,-119.0123,R/V Ruben Lasker,CCES2018,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20160819_PASCAL_001,SWFSC_PASCAL_2016,ORE,"SoundTrap_8505,HTI_856052,HTI_856063,satellite-tracker_F,satellite-tracker_G,depth-sensor_NA",drifting_buoy,NA,2016-08-19T17:14:12Z,44.35261667,-125.3065833,R/V Shimada,PASCAL,NA,NA,NA,2016-08-31T15:04:41Z,43.28963,-126.28662,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20160821_PASCAL_002,SWFSC_PASCAL_2016,HUM,"SoundTrap_0773,HTI_856061,HTI_856056,satellite-tracker_P,satellite-tracker_Q,depth-sensor_OT-1",drifting_buoy,NA,2016-08-21T06:43:25Z,41.48988333,-125.3636,R/V Shimada,PASCAL,NA,NA,NA,2016-09-01T02:19:50Z,41.89747,-125.31944,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_MND_20160821_PASCAL_003,SWFSC_PASCAL_2016,MND,"SoundTrap_2438,HTI_856051,HTI_856067,satellite-tracker_R,satellite-tracker_S,depth-sensor_NA",drifting_buoy,NA,2016-08-21T10:41:47Z,38.57328333,-124.3630667,R/V Shimada,PASCAL,NA,NA,NA,2016-09-02T16:30:41Z,38.08465,-124.03339,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20160822_PASCAL_004,SWFSC_PASCAL_2016,MBY,"SoundTrap_2634,HTI_856060,HTI_856058,satellite-tracker_T,satellite-tracker_U,depth-sensor_NA",drifting_buoy,NA,2016-08-22T00:34:38Z,36.34588333,-122.9485333,R/V Shimada,PASCAL,NA,NA,NA,2016-09-03T19:11:44Z,36.04671,-122.68306,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_CHI_20160822_PASCAL_005,SWFSC_PASCAL_2016,CHI,"SoundTrap_8677,HTI_856048,HTI_856059,satellite-tracker_X,satellite-tracker_Y,depth-sensor_OT-3",drifting_buoy,NA,2016-08-22T15:05:24Z,34.21,-121.4316667,R/V Shimada,PASCAL,NA,NA,NA,2016-09-04T22:51:13Z,33.99318,-121.7215,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_BCN_20160824_PASCAL_006,SWFSC_PASCAL_2016,BCN,"SoundTrap_6538,HTI_856053,HTI_856064,satellite-tracker_Z,satellite-tracker_AA,depth-sensor_NA",drifting_buoy,NA,2016-08-24T13:00:00Z,32.19448333,-119.9124333,R/V Shimada,PASCAL,NA,NA,NA,2016-09-12T12:53:21Z,32.60741,-119.49986,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_BCN_20160825_PASCAL_007,SWFSC_PASCAL_2016,BCN,"SoundTrap_SM3M #1,HTI_856045,HTI_856042,satellite-tracker_GEN-C,satellite-tracker_A,depth-sensor_NA",drifting_buoy,NA,2016-08-25T09:31:29Z,31.36931667,-123.70755,R/V Shimada,PASCAL,NA,NA,NA,2016-09-13T09:29:54Z,30.24416,-122.39265,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_CHI_20160826_PASCAL_008,SWFSC_PASCAL_2016,CHI,"SoundTrap_SM2+Bat #1,HTI_856028,HTI_856025,satellite-tracker_H,satellite-tracker_I,depth-sensor_OT-4; SM2+",drifting_buoy,NA,2016-08-26T04:56:14Z,33.76465,-125.9156167,R/V Shimada,PASCAL,NA,NA,NA,2016-09-14T11:39:53Z,33.95017,-125.3851,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20160827_PASCAL_009,SWFSC_PASCAL_2016,MBY,"SoundTrap_1436,HTI_856050,HTI_856065,satellite-tracker_AB,satellite-tracker_AC,depth-sensor_NA",drifting_buoy,NA,2016-08-27T00:30:47Z,36.54101667,-127.5716667,R/V Shimada,PASCAL,NA,NA,NA,2016-09-15T13:04:56Z,36.99042,-128.64151,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20160827_PASCAL_009,SWFSC_PASCAL_2016,MBY,"SoundTrap_3689,HTI_201883689,HTI_n/a,satellite-tracker_AB,satellite-tracker_AC,depth-sensor_NA",drifting_buoy,NA,2016-08-27T00:30:47Z,36.54101667,-127.5716667,R/V Shimada,PASCAL,NA,NA,NA,2016-09-15T13:04:56Z,36.99042,-128.64151,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_MND_20160827_PASCAL_010,SWFSC_PASCAL_2016,MND,"SoundTrap_SM3M #2,HTI_856046,HTI_856039,satellite-tracker_C,satellite-tracker_V,depth-sensor_OT-5",drifting_buoy,NA,2016-08-27T17:45:53Z,39.24718333,-129.1932167,R/V Shimada,PASCAL,NA,NA,NA,2016-09-16T04:22:18Z,39.1791,-129.75836,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20160828_PASCAL_011,SWFSC_PASCAL_2016,ORE,"SoundTrap_SM2+Bat #2,HTI_856019,HTI_856023,satellite-tracker_J,satellite-tracker_K,depth-sensor_SM2+",drifting_buoy,NA,2016-08-28T12:47:37Z,42.23778333,-129.8487333,R/V Shimada,PASCAL,NA,NA,NA,2016-09-17T04:18:38Z,42.7939,-129.8728,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_COL_20160829_PASCAL_012,SWFSC_PASCAL_2016,COL,"SoundTrap_0774,HTI_856049,HTI_856068,satellite-tracker_AD,satellite-tracker_AE,depth-sensor_NA",drifting_buoy,NA,2016-08-29T09:10:25Z,45.26296667,-129.7797333,R/V Shimada,PASCAL,NA,NA,NA,2016-09-17T19:55:07Z,45.36871,-129.07204,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_COL_20160829_PASCAL_013,SWFSC_PASCAL_2016,COL,"SoundTrap_SM3M #3,HTI_856044,HTI_856040,satellite-tracker_GEN-D,satellite-tracker_D,depth-sensor_OT-6",drifting_buoy,NA,2016-08-29T20:51:57Z,46.22913333,-127.6061667,R/V Shimada,PASCAL,NA,NA,NA,2016-09-18T04:00:12Z,46.32899,-128.11394,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_WAS_20160830_PASCAL_014,SWFSC_PASCAL_2016,WAS,"SoundTrap_SM2+Bat #3,HTI_856027,HTI_856022,satellite-tracker_L,satellite-tracker_M,depth-sensor_SM2+",drifting_buoy,NA,2016-08-30T07:51:05Z,47.10786667,-125.6051167,R/V Shimada,PASCAL,NA,NA,NA,2016-09-18T16:08:10Z,47.10995,-125.37518,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20160831_PASCAL_015,SWFSC_PASCAL_2016,ORE,"SoundTrap_8025,HTI_856055,HTI_856066,satellite-tracker_AF,satellite-tracker_AG,depth-sensor_NA",drifting_buoy,NA,2016-08-31T07:11:05Z,43.68206667,-127.7441667,R/V Shimada,PASCAL,NA,NA,NA,2016-09-16T20:27:04Z,41.63644,-129.2764,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20160901_PASCAL_016,SWFSC_PASCAL_2016,HUM,"SoundTrap_4581,HTI_856054,HTI_856057,satellite-tracker_AH,satellite-tracker_AI,depth-sensor_OT-7",drifting_buoy,NA,2016-09-01T13:20:15Z,40.81186667,-127.5371667,R/V Shimada,PASCAL,NA,NA,NA,2016-09-20T23:57:07Z,39.43269,-127.61221,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_PTA_20160902_PASCAL_017,SWFSC_PASCAL_2016,PTA,"SoundTrap_SM3M #4,HTI_856041,HTI_856043,satellite-tracker_GEN-A,satellite-tracker_B,depth-sensor_NA",drifting_buoy,NA,2016-09-02T03:55:42Z,38.5191,-126.6401333,R/V Shimada,PASCAL,NA,NA,NA,2016-09-21T23:11:20Z,36.51007,-124.621,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20160903_PASCAL_018,SWFSC_PASCAL_2016,MBY,"SoundTrap_SM2+Bat #4,HTI_856026,HTI_Unknown,satellite-tracker_N,satellite-tracker_O,depth-sensor_SM2+",drifting_buoy,NA,2016-09-03T05:34:44Z,35.84186667,-124.9150833,R/V Shimada,PASCAL,NA,NA,NA,2016-09-22T11:48:22Z,34.37835,-124.51677,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_CHI_20160904_PASCAL_019,SWFSC_PASCAL_2016,CHI,"SoundTrap_0129,HTI_856047,HTI_856062,satellite-tracker_AJ,satellite-tracker_AK,depth-sensor_NA",drifting_buoy,NA,2016-09-04T11:49:02Z,33.2154,-123.1555333,R/V Shimada,PASCAL,NA,NA,NA,2016-09-23T06:59:23Z,31.83393,-122.06117,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_CHI_20160906_PASCAL_020,SWFSC_PASCAL_2016,CHI,"SoundTrap_0773,HTI_856061,HTI_856056,satellite-tracker_P,satellite-tracker_Q,depth-sensor_OT-12",drifting_buoy,NA,2016-09-06T01:35:28Z,33.14258333,-118.9932,R/V Shimada,PASCAL,NA,NA,NA,2016-09-29T05:07:18Z,33.73135,-120.94728,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_MOB_20160904_PASCAL_021,SWFSC_PASCAL_2016,MOB,"SoundTrap_8505,HTI_856060,HTI_856058,satellite-tracker_T,satellite-tracker_U,depth-sensor_NA",drifting_buoy,NA,2016-09-04T00:05:17Z,35.29181667,-122.2448333,R/V Shimada,PASCAL,NA,NA,NA,2016-09-25T10:03:07Z,36.0036,-122.56168,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_SND_20160905_PASCAL_022,SWFSC_PASCAL_2016,SND,"SoundTrap_2634,HTI_856048,HTI_856059,satellite-tracker_F,satellite-tracker_G,depth-sensor_OT-32",drifting_buoy,NA,2016-09-05T06:45:44Z,33.05618333,-120.98895,R/V Shimada,PASCAL,NA,NA,NA,2016-09-28T17:04:07Z,34.24002,-120.95419,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_SND_20160924_PASCAL_023,SWFSC_PASCAL_2016,SND,"SoundTrap_8677,HTI_856054,HTI_856057,satellite-tracker_R,satellite-tracker_S,depth-sensor_OT-42",drifting_buoy,NA,2016-09-24T01:37:35Z,33.0006,-121.0014,R/V Shimada,PASCAL,NA,NA,NA,2016-09-28T00:54:00Z,33.10899,-120.92377,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_SND_20160924_PASCAL_024,SWFSC_PASCAL_2016,SND,"SoundTrap_6538,HTI_856052,HTI_856063,satellite-tracker_X,satellite-tracker_Y,depth-sensor_OT-52",drifting_buoy,NA,2016-09-24T02:30:18Z,33.07993333,-120.98435,R/V Shimada,PASCAL,NA,NA,NA,2016-09-28T01:51:21Z,33.14318,-120.80576,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_SND_20160924_PASCAL_024,SWFSC_PASCAL_2016,SND,"SoundTrap_9174,HTI_1678299174,HTI_n/a,satellite-tracker_X,satellite-tracker_Y,depth-sensor_OT-52",drifting_buoy,NA,2016-09-24T02:30:18Z,33.07993333,-120.98435,R/V Shimada,PASCAL,NA,NA,NA,2016-09-28T01:51:21Z,33.14318,-120.80576,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_SND_20160924_PASCAL_025,SWFSC_PASCAL_2016,SND,"SoundTrap_1436,HTI_856053,HTI_856064,satellite-tracker_Z,satellite-tracker_AA,depth-sensor_NA",drifting_buoy,NA,2016-09-24T04:08:38Z,33.1353,-121.0613833,R/V Shimada,PASCAL,NA,NA,NA,2016-09-28T02:38:48Z,33.1833,-120.74837,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_CHI_20160924_PASCAL_026,SWFSC_PASCAL_2016,CHI,"SoundTrap_0774,HTI_856050,HTI_856065,satellite-tracker_AB,satellite-tracker_AC,depth-sensor_OT-62",drifting_buoy,NA,2016-09-24T15:16:01Z,34.35036667,-121.0784,R/V Shimada,PASCAL,NA,NA,NA,2016-09-26T04:19:07Z,34.08626,-120.84152,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_CHI_20160924_PASCAL_026,SWFSC_PASCAL_2016,CHI,"SoundTrap_3689,HTI_201883689,HTI_n/a,satellite-tracker_AB,satellite-tracker_AC,depth-sensor_OT-62",drifting_buoy,NA,2016-09-24T15:16:01Z,34.35036667,-121.0784,R/V Shimada,PASCAL,NA,NA,NA,2016-09-26T04:19:07Z,34.08626,-120.84152,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_CHI_20160924_PASCAL_027,SWFSC_PASCAL_2016,CHI,"SoundTrap_8025,HTI_856049,HTI_856068,satellite-tracker_AD,satellite-tracker_AE,depth-sensor_NA",drifting_buoy,NA,2016-09-24T15:49:32Z,34.05741667,-121.0491833,R/V Shimada,PASCAL,NA,NA,NA,2016-09-26T03:52:19Z,34.10227,-120.85547,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_CHI_20160924_PASCAL_028,SWFSC_PASCAL_2016,CHI,"SoundTrap_4581,HTI_856055,HTI_856066,satellite-tracker_AF,satellite-tracker_AG,depth-sensor_OT-72",drifting_buoy,NA,2016-09-24T16:40:10Z,33.97393333,-120.9855667,R/V Shimada,PASCAL,NA,NA,NA,2016-09-29T02:57:30Z,33.86065,-121.26205,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_CHI_20160926_PASCAL_029,SWFSC_PASCAL_2016,CHI,"SoundTrap_0774,HTI_856050,HTI_856065,satellite-tracker_AB,satellite-tracker_AC,depth-sensor_OT-62",drifting_buoy,NA,2016-09-26T05:40:28Z,34.05123333,-121.0512333,R/V Shimada,PASCAL,NA,NA,NA,2016-09-28T14:16:43Z,33.96885,-120.87064,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_CHI_20160926_PASCAL_029,SWFSC_PASCAL_2016,CHI,"SoundTrap_3689,HTI_201883689,HTI_n/a,satellite-tracker_AB,satellite-tracker_AC,depth-sensor_OT-62",drifting_buoy,NA,2016-09-26T05:40:28Z,34.05123333,-121.0512333,R/V Shimada,PASCAL,NA,NA,NA,2016-09-28T14:16:43Z,33.96885,-120.87064,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_CHI_20160926_PASCAL_030,SWFSC_PASCAL_2016,CHI,"SoundTrap_8025,HTI_856049,HTI_856068,satellite-tracker_AD,satellite-tracker_AE,depth-sensor_NA",drifting_buoy,NA,2016-09-26T06:07:42Z,34.03533333,-121.0779167,R/V Shimada,PASCAL,NA,NA,NA,2016-09-28T15:12:32Z,34.01502,-120.86354,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_ORE_20160819_PASCAL_001,SWFSC_PASCAL_2016,ORE,"SoundTrap_8505,HTI_856052,HTI_856063,satellite-tracker_F,satellite-tracker_G,depth-sensor_NA",drifting_buoy,NA,2016-08-19T17:14:12Z,44.35261667,-125.3065833,R/V Shimada,PASCAL,NA,NA,NA,2016-08-31T15:04:41Z,43.28963,-126.28662,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20160821_PASCAL_002,SWFSC_PASCAL_2016,HUM,"SoundTrap_0773,HTI_856061,HTI_856056,satellite-tracker_P,satellite-tracker_Q,depth-sensor_OT-1",drifting_buoy,NA,2016-08-21T06:43:25Z,41.48988333,-125.3636,R/V Shimada,PASCAL,NA,NA,NA,2016-09-01T02:19:50Z,41.89747,-125.31944,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_MND_20160821_PASCAL_003,SWFSC_PASCAL_2016,MND,"SoundTrap_2438,HTI_856051,HTI_856067,satellite-tracker_R,satellite-tracker_S,depth-sensor_NA",drifting_buoy,NA,2016-08-21T10:41:47Z,38.57328333,-124.3630667,R/V Shimada,PASCAL,NA,NA,NA,2016-09-02T16:30:41Z,38.08465,-124.03339,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20160822_PASCAL_004,SWFSC_PASCAL_2016,MBY,"SoundTrap_2634,HTI_856060,HTI_856058,satellite-tracker_T,satellite-tracker_U,depth-sensor_NA",drifting_buoy,NA,2016-08-22T00:34:38Z,36.34588333,-122.9485333,R/V Shimada,PASCAL,NA,NA,NA,2016-09-03T19:11:44Z,36.04671,-122.68306,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_CHI_20160822_PASCAL_005,SWFSC_PASCAL_2016,CHI,"SoundTrap_8677,HTI_856048,HTI_856059,satellite-tracker_X,satellite-tracker_Y,depth-sensor_OT-3",drifting_buoy,NA,2016-08-22T15:05:24Z,34.21,-121.4316667,R/V Shimada,PASCAL,NA,NA,NA,2016-09-04T22:51:13Z,33.99318,-121.7215,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_BCN_20160824_PASCAL_006,SWFSC_PASCAL_2016,BCN,"SoundTrap_6538,HTI_856053,HTI_856064,satellite-tracker_Z,satellite-tracker_AA,depth-sensor_NA",drifting_buoy,NA,2016-08-24T13:00:00Z,32.19448333,-119.9124333,R/V Shimada,PASCAL,NA,NA,NA,2016-09-12T12:53:21Z,32.60741,-119.49986,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
SWFSC,SWFSC_BCN_20160825_PASCAL_007,SWFSC_PASCAL_2016,BCN,"SoundTrap_SM3M #1,HTI_856045,HTI_856042,satellite-tracker_GEN-C,satellite-tracker_A,depth-sensor_NA",drifting_buoy,NA,2016-08-25T09:31:29Z,31.36931667,-123.70755,R/V Shimada,PASCAL,NA,NA,NA,2016-09-13T09:29:54Z,30.24416,-122.39265,R/V Shimada,PASCAL,NA,NA,NA,NA,NA
